"ZIP","Score","Category","Cases"
"60601",8.3,"LOW",13
"60602",8.3,"LOW",3
"60603",8.3,"LOW",0
"60604",8.3,"LOW",0
"60605",11.7,"LOW",15
"60606",13.1,"LOW",9
"60607",19.5,"LOW",18
"60608",40.1,"MEDIUM",200
"60609",51.9,"HIGH",225
"60610",11.9,"LOW",55
"60611",11.7,"LOW",28
"60612",31.7,"MEDIUM",106
"60613",12.9,"LOW",64
"60614",8.5,"LOW",117
"60615",28.7,"LOW",77
"60616",27.7,"LOW",139
"60617",47,"MEDIUM",252
"60618",21.5,"LOW",174
"60619",46.5,"MEDIUM",228
"60620",48.1,"HIGH",281
"60621",53.3,"HIGH",147
"60622",19.8,"LOW",101
"60623",58.3,"HIGH",330
"60624",50.1,"HIGH",116
"60625",25.5,"LOW",250
"60626",31,"LOW",207
"60628",48.8,"HIGH",315
"60629",53.4,"HIGH",349
"60630",30.8,"LOW",192
"60631",27.7,"LOW",123
"60632",52.3,"HIGH",260
"60633",44.8,"MEDIUM",28
"60634",34.9,"MEDIUM",251
"60636",62.5,"HIGH",164
"60637",36.4,"MEDIUM",100
"60638",46.6,"MEDIUM",190
"60639",51.3,"HIGH",310
"60640",21.2,"LOW",191
"60641",36.1,"MEDIUM",195
"60642",17,"LOW",31
"60643",40.5,"MEDIUM",207
"60644",52.9,"HIGH",214
"60645",35.7,"MEDIUM",154
"60646",24.6,"LOW",96
"60647",28.8,"LOW",191
"60649",44.6,"MEDIUM",220
"60651",52.5,"HIGH",184
"60652",45.6,"MEDIUM",138
"60653",34.9,"MEDIUM",100
"60654",13.6,"LOW",8
"60655",32.2,"MEDIUM",54
"60656",25.5,"LOW",80
"60657",5.1,"LOW",64
"60659",37.4,"MEDIUM",127
"60660",19.5,"LOW",101
"60661",20,"LOW",2
"60707",51.7,"HIGH",64
"60827",35.6,"MEDIUM",19
